region,id,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Northland,SG09NAC34B0101,"  19,789 ","  21,959 ","  23,539 ","  22,566 ","  23,990 ","  26,230 ","  28,162 ","  30,633 ","  32,114 ","  32,445 ","  30,672 ","  32,470 ","  32,906 ","  32,501 ","  35,148 ","  35,522 ","  37,402 ","  39,184 ","  41,240 ","  42,104 "
Auckland,SG09NAC34B0102,"  33,958 ","  34,456 ","  36,276 ","  38,566 ","  40,507 ","  42,860 ","  44,201 ","  45,062 ","  47,839 ","  46,732 ","  47,795 ","  49,183 ","  51,263 ","  52,433 ","  54,615 ","  57,729 ","  61,452 ","  64,278 ","  67,571 ","  69,974 "
Waikato,SG09NAC34B0103,"  25,086 ","  28,300 ","  30,637 ","  29,103 ","  31,089 ","  32,499 ","  34,497 ","  37,876 ","  39,734 ","  41,395 ","  39,967 ","  41,848 ","  44,307 ","  42,989 ","  47,331 ","  46,501 ","  47,045 ","  49,490 ","  51,955 ","  54,128 "
Bay of Plenty,SG09NAC34B0104,"  23,920 ","  25,478 ","  26,890 ","  27,245 ","  28,506 ","  30,145 ","  31,303 ","  33,880 ","  36,416 ","  35,732 ","  36,754 ","  38,768 ","  40,279 ","  40,841 ","  42,296 ","  42,188 ","  44,551 ","  48,940 ","  51,694 ","  53,700 "
Gisborne,SG09NAC34B0105,"  20,918 ","  22,147 ","  23,257 ","  23,740 ","  23,923 ","  25,193 ","  25,528 ","  27,968 ","  28,945 ","  30,518 ","  31,164 ","  32,732 ","  33,693 ","  33,650 ","  34,848 ","  36,130 ","  37,850 ","  39,055 ","  41,302 ","  44,004 "
Hawke's Bay,SG09NAC34B0106,"  24,692 ","  26,528 ","  28,139 ","  29,538 ","  31,346 ","  33,496 ","  34,212 ","  35,180 ","  34,347 ","  35,585 ","  35,818 ","  37,724 ","  38,606 ","  39,623 ","  41,584 ","  41,670 ","  42,848 ","  45,558 ","  48,426 ","  50,251 "
Taranaki,SG09NAC34B0107,"  36,085 ","  44,227 ","  45,334 ","  43,953 ","  43,591 ","  43,874 ","  45,441 ","  53,468 ","  76,780 ","  78,902 ","  75,316 ","  77,717 ","  76,729 ","  76,911 ","  81,040 ","  78,252 ","  67,047 ","  67,052 ","  72,702 ","  73,029 "
Manawatū-Whanganui,SG09NAC34B0108,"  22,091 ","  23,764 ","  25,543 ","  25,604 ","  27,168 ","  28,885 ","  30,992 ","  31,632 ","  34,310 ","  33,859 ","  35,442 ","  37,011 ","  37,583 ","  37,577 ","  39,841 ","  39,976 ","  40,618 ","  42,281 ","  44,861 ","  46,764 "
Wellington,SG09NAC34B0109,"  39,421 ","  39,733 ","  42,198 ","  43,572 ","  44,967 ","  46,751 ","  49,226 ","  50,355 ","  53,834 ","  55,058 ","  57,053 ","  58,248 ","  61,307 ","  61,981 ","  64,327 ","  66,314 ","  67,755 ","  69,482 ","  72,039 ","  74,251 "
Tasman / Nelson(2),SG09NAC34B0119,"  24,402 ","  25,790 ","  27,742 ","  28,416 ","  30,212 ","  32,071 ","  31,813 ","  34,246 ","  36,105 ","  36,883 ","  37,788 ","  38,932 ","  39,292 ","  39,942 ","  42,534 ","  43,154 ","  44,716 ","  46,980 ","  49,430 ","  50,960 "
Marlborough,SG09NAC34B0118,"  24,878 ","  27,092 ","  29,709 ","  30,091 ","  32,558 ","  34,005 ","  35,587 ","  39,028 ","  43,718 ","  44,972 ","  43,346 ","  43,905 ","  46,710 ","  48,912 ","  53,830 ","  55,441 ","  56,713 ","  59,961 ","  62,918 ","  66,277 "
West Coast,SG09NAC34B0112,"  21,930 ","  25,181 ","  26,677 ","  25,599 ","  27,966 ","  29,308 ","  33,856 ","  36,252 ","  42,066 ","  46,271 ","  44,425 ","  47,034 ","  50,248 ","  48,046 ","  51,448 ","  49,063 ","  45,498 ","  47,973 ","  53,818 ","  57,101 "
Canterbury(3),SG09NAC34B0113,"  26,604 ","  27,799 ","  29,500 ","  30,895 ","  32,739 ","  35,268 ","  36,686 ","  38,460 ","  40,940 ","  41,735 ","  42,250 ","  44,501 ","  47,402 ","  49,393 ","  53,774 ","  54,933 ","  55,695 ","  56,352 ","  58,965 ","  60,101 "
Otago,SG09NAC34B0114,"  24,344 ","  26,259 ","  28,447 ","  29,925 ","  31,679 ","  33,901 ","  35,030 ","  36,390 ","  38,832 ","  40,021 ","  41,307 ","  42,714 ","  44,034 ","  44,510 ","  47,399 ","  47,552 ","  49,777 ","  52,627 ","  55,631 ","  57,974 "
Southland,SG09NAC34B0115,"  27,134 ","  31,695 ","  34,070 ","  33,032 ","  34,212 ","  34,100 ","  36,466 ","  38,992 ","  44,709 ","  47,496 ","  47,877 ","  51,283 ","  52,311 ","  50,356 ","  56,919 ","  54,001 ","  51,698 ","  56,219 ","  60,119 ","  63,084 "
