,Year,Region,Accommodation,Administrative and Support Services,Agriculture,Construction,Education and Training,"Electricity, Gas, Water, and Waste services",Financial and Insurance Services,Food and beverage services,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services","Forestry, Fishing, and Mining","GST on Production, Import Duties and Other Taxes",Gross Domestic Product,Health Care and Social Assistance,"Information Media, Telecommunications and Other Services",Manufacturing,Other Manufacturing,Owner-Occupied Property Operation,Primary Manufacturing,"Professional, Scientific, and Technical Services",Public Administration and Safety,"Rental, Hiring and Real Estate Services",Retail Trade,Total,Total All Industries,"Transport, Postal and Warehousing",Wholesale Trade,Population
0,2000,Auckland,223.0,958.0,182.0,1855.0,1455.0,783.0,2124.0,442.0,996.0,212.0,2823.0,40539.0,1692.0,3535.0,6816.0,3015.0,2998.0,3801.0,3472.0,997.0,2585.0,1894.0,33958.0,37716.0,2012.0,3480.0,1193800.0
1,2000,Bay of Plenty,40.0,77.0,412.0,318.0,212.0,134.0,123.0,80.0,457.0,323.0,406.0,5837.0,312.0,217.0,1021.0,197.0,498.0,824.0,235.0,151.0,388.0,302.0,23920.0,5430.0,370.0,216.0,244000.0
2,2000,Canterbury,107.0,261.0,731.0,616.0,628.0,366.0,371.0,212.0,555.0,189.0,914.0,13129.0,741.0,937.0,2190.0,1004.0,1052.0,1187.0,668.0,410.0,712.0,640.0,26604.0,12215.0,710.0,673.0,493500.0
3,2000,Gisborne,6.0,13.0,99.0,55.0,53.0,11.0,11.0,11.0,103.0,92.0,67.0,968.0,59.0,38.0,132.0,19.0,66.0,113.0,32.0,34.0,60.0,49.0,20918.0,901.0,57.0,25.0,46300.0
4,2000,Hawke's Bay,17.0,50.0,357.0,174.0,129.0,59.0,65.0,34.0,175.0,116.0,253.0,3640.0,190.0,105.0,937.0,128.0,264.0,809.0,130.0,107.0,193.0,164.0,24692.0,3386.0,178.0,116.0,147400.0
5,2000,Manawatu-Whanganui,28.0,57.0,486.0,254.0,418.0,185.0,117.0,56.0,279.0,94.0,355.0,5096.0,323.0,255.0,598.0,218.0,397.0,380.0,227.0,355.0,273.0,275.0,22091.0,4742.0,172.0,171.0,230700.0
6,2000,Marlborough,8.0,9.0,90.0,49.0,32.0,,18.0,15.0,100.0,,70.0,1005.0,41.0,32.0,218.0,45.0,88.0,173.0,20.0,47.0,60.0,45.0,24878.0,935.0,49.0,14.0,40400.0
7,2000,New Zealand,701.0,2064.0,5165.0,5179.0,4838.0,3250.0,4956.0,1386.0,6388.0,3138.0,7884.0,113229.0,5344.0,8460.0,17614.0,6458.0,8416.0,11156.0,7594.0,4313.0,6355.0,5086.0,29421.0,105345.0,5274.0,6211.0,3848600.0
8,2000,Northland,18.0,30.0,327.0,150.0,135.0,48.0,61.0,35.0,213.0,166.0,199.0,2854.0,167.0,109.0,410.0,,286.0,,96.0,80.0,173.0,149.0,19789.0,2655.0,140.0,76.0,144200.0
9,2000,Otago,54.0,63.0,329.0,239.0,383.0,175.0,114.0,106.0,301.0,125.0,319.0,4584.0,281.0,327.0,530.0,198.0,400.0,332.0,196.0,135.0,253.0,218.0,24344.0,4265.0,224.0,112.0,
10,2000,Southland,16.0,18.0,375.0,116.0,89.0,127.0,57.0,31.0,231.0,105.0,176.0,2532.0,110.0,102.0,526.0,,136.0,,68.0,64.0,91.0,115.0,27134.0,2355.0,136.0,77.0,
11,2000,Taranaki,12.0,30.0,459.0,125.0,109.0,310.0,52.0,24.0,1193.0,883.0,266.0,3861.0,133.0,89.0,554.0,158.0,186.0,396.0,111.0,58.0,126.0,117.0,36085.0,3595.0,105.0,112.0,107000.0
12,2000,Tasman/Nelson,13.0,29.0,105.0,108.0,78.0,31.0,43.0,27.0,230.0,199.0,142.0,2042.0,107.0,83.0,345.0,71.0,184.0,274.0,84.0,45.0,120.0,99.0,24402.0,1900.0,136.0,63.0,83700.0
13,2000,Total North Island,494.0,1677.0,3462.0,4020.0,3599.0,2526.0,4336.0,977.0,4889.0,2363.0,6214.0,89242.0,4024.0,6952.0,13700.0,,6505.0,,6545.0,3588.0,5092.0,3933.0,30583.0,83028.0,3975.0,5259.0,2918000.0
14,2000,Total South Island,207.0,387.0,1703.0,1159.0,1239.0,724.0,620.0,409.0,1499.0,776.0,1670.0,23987.0,1320.0,1508.0,3914.0,,1912.0,,1050.0,725.0,1263.0,1153.0,25768.0,22317.0,1299.0,952.0,930900.0
15,2000,Waikato,55.0,92.0,998.0,498.0,479.0,482.0,208.0,110.0,883.0,401.0,642.0,9224.0,481.0,480.0,1335.0,419.0,733.0,916.0,339.0,267.0,590.0,419.0,25086.0,8582.0,313.0,303.0,367700.0
16,2000,Wellington,94.0,370.0,143.0,591.0,609.0,515.0,1576.0,185.0,590.0,75.0,1202.0,17223.0,667.0,2124.0,1897.0,664.0,1076.0,1233.0,1904.0,1539.0,704.0,564.0,39421.0,16021.0,627.0,760.0,436900.0
17,2000,West Coast,9.0,7.0,73.0,31.0,29.0,,16.0,18.0,83.0,,48.0,695.0,40.0,27.0,105.0,12.0,53.0,92.0,14.0,23.0,27.0,37.0,21930.0,647.0,43.0,12.0,31700.0
18,2001,Auckland,257.0,951.0,216.0,1820.0,1564.0,782.0,2446.0,477.0,979.0,197.0,2855.0,41705.0,1850.0,3747.0,6802.0,2911.0,3051.0,3890.0,3470.0,1034.0,2722.0,2009.0,34456.0,38850.0,1975.0,3482.0,1210400.0
19,2001,Bay of Plenty,45.0,85.0,525.0,317.0,229.0,142.0,126.0,84.0,488.0,346.0,429.0,6273.0,324.0,228.0,1141.0,208.0,502.0,933.0,253.0,160.0,395.0,307.0,25478.0,5843.0,382.0,251.0,246200.0
20,2001,Canterbury,126.0,259.0,984.0,644.0,665.0,302.0,391.0,235.0,516.0,214.0,944.0,13794.0,813.0,966.0,2221.0,1003.0,1079.0,1218.0,685.0,424.0,750.0,675.0,27799.0,12849.0,724.0,693.0,496200.0
21,2001,Gisborne,6.0,12.0,118.0,65.0,57.0,10.0,10.0,12.0,119.0,108.0,69.0,1014.0,60.0,37.0,120.0,19.0,67.0,102.0,31.0,35.0,67.0,50.0,22147.0,945.0,51.0,27.0,45800.0
22,2001,Hawke's Bay,20.0,50.0,489.0,163.0,137.0,31.0,67.0,37.0,175.0,144.0,268.0,3910.0,196.0,108.0,985.0,140.0,265.0,845.0,132.0,110.0,205.0,174.0,26528.0,3643.0,192.0,139.0,147400.0
23,2001,Manawatu-Whanganui,35.0,64.0,639.0,246.0,408.0,198.0,126.0,64.0,308.0,109.0,372.0,5437.0,338.0,261.0,640.0,228.0,399.0,412.0,228.0,372.0,295.0,283.0,23764.0,5065.0,184.0,174.0,228800.0
24,2001,Marlborough,9.0,7.0,117.0,50.0,33.0,,16.0,17.0,112.0,,75.0,1100.0,42.0,32.0,232.0,50.0,89.0,182.0,22.0,49.0,74.0,48.0,27092.0,1025.0,54.0,21.0,40600.0
25,2001,New Zealand,810.0,2067.0,7124.0,5139.0,5066.0,3169.0,5390.0,1506.0,6718.0,3549.0,8204.0,119839.0,5711.0,8924.0,18580.0,6510.0,8522.0,12070.0,7596.0,4505.0,6711.0,5346.0,30960.0,111635.0,5297.0,6621.0,3870800.0
26,2001,Northland,22.0,29.0,459.0,150.0,139.0,54.0,64.0,41.0,232.0,178.0,217.0,3171.0,189.0,113.0,464.0,,288.0,,100.0,84.0,184.0,156.0,21959.0,2954.0,131.0,108.0,144400.0
27,2001,Otago,63.0,67.0,464.0,259.0,397.0,200.0,126.0,117.0,365.0,165.0,339.0,4945.0,294.0,308.0,563.0,201.0,405.0,362.0,185.0,143.0,274.0,238.0,26259.0,4606.0,215.0,123.0,
28,2001,Southland,18.0,17.0,570.0,106.0,94.0,149.0,53.0,34.0,278.0,129.0,202.0,2948.0,119.0,107.0,600.0,,136.0,,69.0,67.0,113.0,123.0,31695.0,2746.0,142.0,100.0,
29,2001,Taranaki,14.0,35.0,615.0,119.0,115.0,294.0,62.0,27.0,1311.0,1017.0,319.0,4697.0,145.0,93.0,923.0,139.0,185.0,784.0,115.0,60.0,136.0,124.0,44227.0,4378.0,105.0,194.0,106200.0
