Period,value,MAGNTUDE,Group,Region,Industry
2000,327.0,6,"Gross domestic product, by region and industry",Northland,Agriculture
2001,459.0,6,"Gross domestic product, by region and industry",Northland,Agriculture
2002,510.0,6,"Gross domestic product, by region and industry",Northland,Agriculture
2003,334.0,6,"Gross domestic product, by region and industry",Northland,Agriculture
2004,372.0,6,"Gross domestic product, by region and industry",Northland,Agriculture
2005,356.0,6,"Gross domestic product, by region and industry",Northland,Agriculture
2006,276.0,6,"Gross domestic product, by region and industry",Northland,Agriculture
2007,336.0,6,"Gross domestic product, by region and industry",Northland,Agriculture
2008,512.0,6,"Gross domestic product, by region and industry",Northland,Agriculture
2009,368.0,6,"Gross domestic product, by region and industry",Northland,Agriculture
2010,414.0,6,"Gross domestic product, by region and industry",Northland,Agriculture
2011,538.0,6,"Gross domestic product, by region and industry",Northland,Agriculture
2012,505.0,6,"Gross domestic product, by region and industry",Northland,Agriculture
2013,432.0,6,"Gross domestic product, by region and industry",Northland,Agriculture
2014,628.0,6,"Gross domestic product, by region and industry",Northland,Agriculture
2015,404.0,6,"Gross domestic product, by region and industry",Northland,Agriculture
2016,409.0,6,"Gross domestic product, by region and industry",Northland,Agriculture
2017,584.0,6,"Gross domestic product, by region and industry",Northland,Agriculture
2018,654.0,6,"Gross domestic product, by region and industry",Northland,Agriculture
2019,605.0,6,"Gross domestic product, by region and industry",Northland,Agriculture
2020,664.0,6,"Gross domestic product, by region and industry",Northland,Agriculture
2021,675.0,6,"Gross domestic product, by region and industry",Northland,Agriculture
2022,775.0,6,"Gross domestic product, by region and industry",Northland,Agriculture
2000,166.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, and Mining"
2001,178.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, and Mining"
2002,199.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, and Mining"
2003,195.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, and Mining"
2004,150.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, and Mining"
2005,144.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, and Mining"
2006,164.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, and Mining"
2007,177.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, and Mining"
2008,162.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, and Mining"
2009,168.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, and Mining"
2010,196.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, and Mining"
2011,215.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, and Mining"
2012,223.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, and Mining"
2013,216.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, and Mining"
2014,245.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, and Mining"
2015,234.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, and Mining"
2016,273.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, and Mining"
2017,308.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, and Mining"
2018,348.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, and Mining"
2019,354.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, and Mining"
2020,299.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, and Mining"
2021,312.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, and Mining"
2022,323.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, and Mining"
2000,213.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2001,232.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2002,243.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2003,247.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2004,212.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2005,212.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2006,241.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2007,270.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2008,269.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2009,284.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2010,308.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2011,356.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2012,374.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2013,386.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2014,419.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2015,402.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2016,446.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2017,496.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2018,540.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2019,564.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2020,519.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2021,516.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2022,562.0,6,"Gross domestic product, by region and industry",Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
2000,,6,"Gross domestic product, by region and industry",Northland,Primary Manufacturing
2001,,6,"Gross domestic product, by region and industry",Northland,Primary Manufacturing
2002,,6,"Gross domestic product, by region and industry",Northland,Primary Manufacturing
2003,,6,"Gross domestic product, by region and industry",Northland,Primary Manufacturing
2004,,6,"Gross domestic product, by region and industry",Northland,Primary Manufacturing
2005,,6,"Gross domestic product, by region and industry",Northland,Primary Manufacturing
2006,,6,"Gross domestic product, by region and industry",Northland,Primary Manufacturing
2007,,6,"Gross domestic product, by region and industry",Northland,Primary Manufacturing
2008,,6,"Gross domestic product, by region and industry",Northland,Primary Manufacturing
2009,,6,"Gross domestic product, by region and industry",Northland,Primary Manufacturing
2010,,6,"Gross domestic product, by region and industry",Northland,Primary Manufacturing
2011,,6,"Gross domestic product, by region and industry",Northland,Primary Manufacturing
2012,,6,"Gross domestic product, by region and industry",Northland,Primary Manufacturing
2013,,6,"Gross domestic product, by region and industry",Northland,Primary Manufacturing
2014,,6,"Gross domestic product, by region and industry",Northland,Primary Manufacturing
2015,,6,"Gross domestic product, by region and industry",Northland,Primary Manufacturing
2016,,6,"Gross domestic product, by region and industry",Northland,Primary Manufacturing
2017,,6,"Gross domestic product, by region and industry",Northland,Primary Manufacturing
2018,,6,"Gross domestic product, by region and industry",Northland,Primary Manufacturing
2019,,6,"Gross domestic product, by region and industry",Northland,Primary Manufacturing
2020,,6,"Gross domestic product, by region and industry",Northland,Primary Manufacturing
2021,,6,"Gross domestic product, by region and industry",Northland,Primary Manufacturing
2022,,6,"Gross domestic product, by region and industry",Northland,Primary Manufacturing
2000,,6,"Gross domestic product, by region and industry",Northland,Other Manufacturing
2001,,6,"Gross domestic product, by region and industry",Northland,Other Manufacturing
2002,,6,"Gross domestic product, by region and industry",Northland,Other Manufacturing
2003,,6,"Gross domestic product, by region and industry",Northland,Other Manufacturing
2004,,6,"Gross domestic product, by region and industry",Northland,Other Manufacturing
2005,,6,"Gross domestic product, by region and industry",Northland,Other Manufacturing
2006,,6,"Gross domestic product, by region and industry",Northland,Other Manufacturing
2007,,6,"Gross domestic product, by region and industry",Northland,Other Manufacturing
2008,,6,"Gross domestic product, by region and industry",Northland,Other Manufacturing
2009,,6,"Gross domestic product, by region and industry",Northland,Other Manufacturing
2010,,6,"Gross domestic product, by region and industry",Northland,Other Manufacturing
2011,,6,"Gross domestic product, by region and industry",Northland,Other Manufacturing
2012,,6,"Gross domestic product, by region and industry",Northland,Other Manufacturing
2013,,6,"Gross domestic product, by region and industry",Northland,Other Manufacturing
2014,,6,"Gross domestic product, by region and industry",Northland,Other Manufacturing
2015,,6,"Gross domestic product, by region and industry",Northland,Other Manufacturing
2016,,6,"Gross domestic product, by region and industry",Northland,Other Manufacturing
2017,,6,"Gross domestic product, by region and industry",Northland,Other Manufacturing
2018,,6,"Gross domestic product, by region and industry",Northland,Other Manufacturing
