regioncode,regionname,year,tertiary
1,northland,2007,5967
1,northland,2008,5923
1,northland,2009,5586
1,northland,2010,5431
2,auckland,2007,41883
2,auckland,2008,42063
2,auckland,2009,41385
2,auckland,2010,42182
3,waikato,2007,20224
3,waikato,2008,20154
3,waikato,2009,20045
3,waikato,2010,20084
4,bayofplenty,2007,9398
4,bayofplenty,2008,9205
4,bayofplenty,2009,8965
4,bayofplenty,2010,8356
5,gisborne,2007,1384
5,gisborne,2008,1383
5,gisborne,2009,1331
5,gisborne,2010,1113
6,hawke'sbay,2007,6560
6,hawke'sbay,2008,6459
6,hawke'sbay,2009,6327
6,hawke'sbay,2010,6079
7,taranaki,2007,5025
7,taranaki,2008,4983
7,taranaki,2009,5142
7,taranaki,2010,5101
8,Manawatu-Wanganui,2007,14022
8,Manawatu-Wanganui,2008,13638
8,Manawatu-Wanganui,2009,13132
8,Manawatu-Wanganui,2010,12899
9,wellington,2007,23031
9,wellington,2008,22793
9,wellington,2009,22726
9,wellington,2010,22788
10,tasmannelson,2007,2479
10,tasmannelson,2008,2489
10,tasmannelson,2009,2469
10,tasmannelson,2010,2541
11,Marlborough,2007,2214
11,Marlborough,2008,2229
11,Marlborough,2009,2203
11,Marlborough,2010,2104
12,westcoast,2007,2555
12,westcoast,2008,2531
12,westcoast,2009,2520
12,westcoast,2010,2515
13,canterbury,2007,30040
13,canterbury,2008,30180
13,canterbury,2009,30515
13,canterbury,2010,30587
14,otago,2007,6056
14,otago,2008,5985
14,otago,2009,5934
14,otago,2010,6835
15,southland,2007,2536
15,southland,2008,2500
15,southland,2009,2477
15,southland,2010,2455
